"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"295","002900","동양물산","KOSPI","기계",1575,-55,-3.37,215582164875
"296","082640","동양생명","KOSPI","보험",4120,-70,-1.67,664797370200
"297","001525","동양우","KOSPI","비금속광물",6620,-80,-1.19,4089379220
"298","008970","동양철관","KOSPI","철강금속",1300,0,0,154550877000
"299","092780","동양피스톤","KOSPI","운수장비",5760,-150,-2.54,75850329600
"300","049770","동원F&B","KOSPI","음식료품",198000,-1000,-0.5,764106552000
"301","018500","동원금속","KOSPI","운수장비",1190,135,12.8,55638370270
"302","006040","동원산업","KOSPI","농업, 임업 및 어업",259500,1500,0.58,954347839500
"303","030720","동원수산","KOSPI","농업, 임업 및 어업",8940,-60,-0.67,41605016700
"304","014820","동원시스템즈","KOSPI","화학",50100,-2100,-4.02,1283487401100
"305","014825","동원시스템즈우","KOSPI","화학",31450,-900,-2.78,8345509100
"306","163560","동일고무벨트","KOSPI","화학",8840,-140,-1.56,1.20666e+11
"307","004890","동일산업","KOSPI","철강금속",78000,-500,-0.64,189166770000
"308","002690","동일제강","KOSPI","철강금속",2815,115,4.26,4.2225e+10
"309","000020","동화약품","KOSPI","의약품",14500,50,0.35,405006315000
"310","000150","두산","KOSPI","서비스업",46650,-1700,-3.52,770836902750
"311","000157","두산2우B","KOSPI","서비스업",54800,-800,-1.44,48938482400
"312","241560","두산밥캣","KOSPI","기계",32350,-2150,-6.23,3243060520100
"313","000155","두산우","KOSPI","서비스업",37500,-450,-1.19,149867325000
"314","042670","두산인프라코어","KOSPI","기계",7860,-130,-1.63,1699220458740
"315","034020","두산중공업","KOSPI","기계",10600,-500,-4.5,3971154903000
"316","336260","두산퓨얼셀","KOSPI","전기전자",50000,-3600,-6.72,3274686300000
"317","33626K","두산퓨얼셀1우","KOSPI","전기전자",15600,-850,-5.17,208481520000
"318","33626L","두산퓨얼셀2우B","KOSPI","전기전자",18200,-800,-4.21,54350660000
"319","016740","두올","KOSPI","운수장비",3880,-90,-2.27,105018718400
"320","192650","드림텍","KOSPI","전기전자",9380,-270,-2.8,618276865640
"321","024090","디씨엠","KOSPI","철강금속",12550,-150,-1.18,1.46835e+11
"322","003160","디아이","KOSPI","의료정밀",5960,-160,-2.61,187720838600
"323","092200","디아이씨","KOSPI","운수장비",3190,-175,-5.2,124054535110
"324","013570","디와이","KOSPI","기타금융",5900,-80,-1.34,155285834700
"325","210540","디와이파워","KOSPI","기계",14450,-350,-2.36,159552680600
"326","007340","디티알오토모티브","KOSPI","전기전자",27450,-450,-1.61,274335437250
"327","026890","디피씨","KOSPI","전기전자",11300,-250,-2.16,470963377500
"328","115390","락앤락","KOSPI","화학",14800,100,0.68,784513042400
"329","032350","롯데관광개발","KOSPI","서비스업",21750,450,2.11,1506745648500
"330","330590","롯데리츠","KOSPI","서비스업",4995,5,0.1,858984575580
"331","000400","롯데손해보험","KOSPI","보험",1675,-60,-3.46,519813336000
"332","023530","롯데쇼핑","KOSPI","유통업",118500,-4000,-3.27,3352217467500
"333","004000","롯데정밀화학","KOSPI","화학",53400,-600,-1.11,1.37772e+12
"334","286940","롯데정보통신","KOSPI","서비스업",39450,-1150,-2.83,607385257950
"335","280360","롯데제과","KOSPI","음식료품",124000,-3000,-2.36,795672908000
"336","004990","롯데지주","KOSPI","기타금융",33600,-300,-0.88,3524950363200
"337","00499K","롯데지주우","KOSPI","기타금융",58900,300,0.51,58170994700
"338","005300","롯데칠성","KOSPI","음식료품",114500,-4000,-3.38,1027651583500
"339","005305","롯데칠성우","KOSPI","음식료품",60500,-1500,-2.42,46906255000
"340","011170","롯데케미칼","KOSPI","화학",318000,-6000,-1.85,10899583242000
"341","002270","롯데푸드","KOSPI","음식료품",376000,-12000,-3.09,425583120000
"342","071840","롯데하이마트","KOSPI","유통업",37450,300,0.81,884108814400
"343","027740","마니커","KOSPI","음식료품",699,0,0,138732343206
"344","204320","만도","KOSPI","운수장비",62500,-1700,-2.65,2.93482e+12
"345","001080","만호제강","KOSPI","철강금속",18700,600,3.31,7.7605e+10
"346","088980","맥쿼리인프라","KOSPI","기타금융",11150,50,0.45,4149946207750
"347","094800","맵스리얼티1","KOSPI","기타금융",4000,-10,-0.25,371337324000
"348","138040","메리츠금융지주","KOSPI","기타금융",12250,50,0.41,1641638351500
"349","008560","메리츠증권","KOSPI","증권",3760,-25,-0.66,2541616093520
"350","000060","메리츠화재","KOSPI","보험",16100,150,0.94,1942062500000
"351","090370","메타랩스","KOSPI","섬유의복",996,7,0.71,63435177252
"352","017180","명문제약","KOSPI","의약품",5550,-160,-2.8,188441669700
